chapter,pos_tag,count,percentage
104,NUM,1,0.22
104,PART,2,0.43
104,PRON,7,1.52
104,PROPN,1,0.22
104,VERB,70,15.15
105,ADJ,4,1.49
105,ADP,2,0.75
105,ADV,7,2.61
105,CCONJ,1,0.37
105,DET,2,0.75
105,NOUN,188,70.15
105,PRON,9,3.36
105,PROPN,2,0.75
105,SCONJ,4,1.49
105,VERB,49,18.28
106,ADP,1,0.3
106,ADV,13,3.9
106,AUX,1,0.3
106,DET,1,0.3
106,NOUN,219,65.77
106,NUM,1,0.3
106,PART,2,0.6
106,PRON,29,8.71
106,PROPN,1,0.3
106,SCONJ,8,2.4
106,VERB,57,17.12
107,ADJ,11,2.04
107,ADP,4,0.74
107,ADV,16,2.97
107,AUX,5,0.93
107,NOUN,388,72.12
107,NUM,5,0.93
107,PART,1,0.19
107,PRON,3,0.56
