word,frequency,rank
ดื้อรั้น,13,1235
ควรจะ,13,1236
โลหิต,13,1237
ถ่าน,13,1238
เพลิง,13,1239
วิชชา,13,1240
สะอาด,13,1241
ชื่นชม,13,1242
ส่อเสียด,13,1243
สลากภัต,13,1244
เหี้ย,13,1245
มีลูก,13,1246
ปริ,13,1247
ชิ้น,13,1248
กังสะ,13,1249
ประตูเมือง,13,1250
มูล,13,1251
แก้,13,1252
เกินไป,13,1253
กองไฟ,13,1254
ปรุง,13,1255
จอบ,13,1256
ส้ม,13,1257
ประชุมกัน,13,1258
ข้าวสาร,13,1259
ปึก,13,1260
สูบ,13,1261
ช่อง,13,1262
ทีปาย,13,1263
เถรี,13,1264
ฤาษิณี,13,1265
มาทันตี,13,1266
ปารก,13,1267
เดือด,13,1268
กระทา,13,1269
ลูกเรือ,12,1270
รอด,12,1271
ประดับ,12,1272
